Task,Surplus,Budget,Min. cost,Max. cost,Vm,Cost,Update
ID00033,0.30506086,0.30509147,3.061111E-5,7.666666E-5,0,4.5111112E-5,1.4500001E-5
ID00032,0.30504635,0.30507535,2.8999999E-5,7.0277776E-5,1,4.188889E-5,1.288889E-5
ID00090,0.30503348,0.30506408,3.061111E-5,7.0277776E-5,2,3.061111E-5,0.0
ID00261,0.30503348,0.30614513,0.0011116667,0.002645,1,0.0015402222,4.2855553E-4
ID00262,0.30460492,0.30571496,0.0011100555,0.002645,0,0.001537,4.2694446E-4
ID00213,0.30417797,0.3042102,3.2222222E-5,7.666666E-5,3,3.2222222E-5,0.0
ID00124,0.30417797,0.30420697,2.8999999E-5,7.0277776E-5,4,2.8999999E-5,0.0
ID00027,0.30417797,0.30420858,3.061111E-5,7.0277776E-5,5,3.061111E-5,0.0
ID00107,0.30417797,0.30420858,3.061111E-5,7.666666E-5,6,3.061111E-5,0.0
ID00089,0.30417797,0.30420858,3.061111E-5,7.0277776E-5,7,3.061111E-5,0.0
ID00008,0.30417797,0.30420697,2.8999999E-5,7.0277776E-5,8,2.8999999E-5,0.0
ID00001,0.30417797,0.30420858,3.061111E-5,7.0277776E-5,9,3.061111E-5,0.0
ID00137,0.30417797,0.30420858,3.061111E-5,7.666666E-5,10,3.061111E-5,0.0
ID00067,0.30417797,0.30420858,3.061111E-5,7.0277776E-5,11,3.061111E-5,0.0
ID00319,0.30417797,0.3052671,0.0010891111,0.002593889,12,0.001508,4.1888887E-4
ID00004,0.30375907,0.30378807,2.8999999E-5,7.0277776E-5,13,2.8999999E-5,0.0
ID00442,0.30375907,0.30486268,0.0011036111,0.0026258333,14,0.0015273333,4.237222E-4
ID00163,0.30333534,0.30336595,3.061111E-5,7.0277776E-5,15,3.061111E-5,0.0
ID00353,0.30333534,0.3044293,0.0010939444,0.0026066666,16,0.0015176666,4.237222E-4
ID00256,0.3029116,0.3039846,0.001073,0.0025555554,17,0.0014854444,4.1244435E-4
ID00237,0.30249918,0.30357218,0.001073,0.0025555554,18,0.0014854444,4.1244435E-4
ID00336,0.30208674,0.30315974,0.001073,0.0025555554,19,0.0014854444,4.1244435E-4
ID00110,0.3016743,0.3017049,3.061111E-5,7.666666E-5,20,3.061111E-5,0.0
ID00318,0.3016743,0.3027473,0.001073,0.0025555554,21,0.0014854444,4.1244435E-4
ID00214,0.30126187,0.3012941,3.2222222E-5,7.666666E-5,22,3.2222222E-5,0.0
ID00075,0.30126187,0.30129087,2.8999999E-5,7.0277776E-5,23,2.8999999E-5,0.0
ID00230,0.30126187,0.30233166,0.0010697778,0.0025427777,24,0.0014822222,4.1244447E-4
ID00063,0.30084944,0.30087844,2.8999999E-5,7.0277776E-5,25,2.8999999E-5,0.0
ID00045,0.30084944,0.30088004,3.061111E-5,7.0277776E-5,26,3.061111E-5,0.0
ID00366,0.30084944,0.30192727,0.0010778334,0.0025683332,27,0.0014918889,4.1405554E-4
ID00009,0.3004354,0.300466,3.061111E-5,7.666666E-5,28,3.061111E-5,0.0
ID00296,0.3004354,0.30151162,0.0010762222,0.0025619443,29,0.0014918889,4.1566673E-4
ID00056,0.30001974,0.30005035,3.061111E-5,7.666666E-5,30,3.061111E-5,0.0
ID00166,0.30001974,0.30005035,3.061111E-5,7.666666E-5,31,3.061111E-5,0.0
ID00233,0.30001974,0.30107018,0.0010504444,0.0024980556,32,0.0014532222,4.027778E-4
ID00109,0.29961696,0.29964757,3.061111E-5,7.0277776E-5,33,3.061111E-5,0.0
ID00392,0.29961696,0.30067867,0.0010617222,0.002523611,34,0.0014693333,4.0761114E-4
ID00304,0.29920936,0.30026624,0.0010568888,0.0025172222,35,0.0014628889,4.0600006E-4
ID00339,0.29880336,0.29984576,0.0010423888,0.0024852778,36,0.0014435556,4.0116673E-4
ID00443,0.2984022,0.29946876,0.0010665555,0.0025363888,37,0.0014757777,4.092222E-4
ID00058,0.29799297,0.29802358,3.061111E-5,7.666666E-5,38,3.061111E-5,0.0
ID00292,0.29799297,0.29904503,0.0010520555,0.0025044444,39,0.0014564444,4.0438888E-4
ID00189,0.2975886,0.29761758,2.8999999E-5,7.0277776E-5,40,2.8999999E-5,0.0
ID00274,0.2975886,0.29863903,0.0010504444,0.0024980556,41,0.0014532222,4.027778E-4
ID00019,0.2971858,0.29721642,3.061111E-5,7.0277776E-5,42,3.061111E-5,0.0
ID00120,0.2971858,0.2972148,2.8999999E-5,7.0277776E-5,43,2.8999999E-5,0.0
ID00238,0.2971858,0.2982169,0.0010311111,0.0024533332,44,0.0014274444,3.963333E-4
ID00087,0.29678947,0.29681846,2.8999999E-5,7.0277776E-5,45,2.8999999E-5,0.0
ID00285,0.29678947,0.29783025,0.0010407778,0.002478889,46,0.0014435556,4.027778E-4
ID00338,0.2963867,0.29740974,0.0010230555,0.0024341666,47,0.0014177777,3.947222E-4
ID00395,0.29599196,0.29702628,0.0010343334,0.002466111,48,0.0014338889,3.9955555E-4
ID00028,0.2955924,0.295623,3.061111E-5,7.666666E-5,49,3.061111E-5,0.0
ID00221,0.2955924,0.2956214,2.8999999E-5,7.0277776E-5,50,2.8999999E-5,0.0
ID00095,0.2955924,0.295623,3.061111E-5,7.0277776E-5,51,3.061111E-5,0.0
ID00192,0.2955924,0.295623,3.061111E-5,7.0277776E-5,52,3.061111E-5,0.0
ID00040,0.2955924,0.295623,3.061111E-5,7.666666E-5,53,3.061111E-5,0.0
ID00418,0.2955924,0.29661867,0.0010262778,0.0024405555,54,0.001421,3.947222E-4
ID00287,0.29519767,0.2962191,0.0010214444,0.0024341666,55,0.0014145556,3.9311114E-4
ID00051,0.29480454,0.29483354,2.8999999E-5,7.0277776E-5,56,2.8999999E-5,0.0
ID00248,0.29480454,0.29580986,0.0010053333,0.0023958334,57,0.001392,3.8666674E-4
ID00349,0.2944179,0.29544255,0.0010246667,0.0024405555,58,0.001421,3.963333E-4
ID00316,0.29402155,0.29502687,0.0010053333,0.0023894445,59,0.001392,3.8666674E-4
ID00003,0.2936349,0.2936655,3.061111E-5,7.666666E-5,60,3.061111E-5,0.0
ID00450,0.2936349,0.29467407,0.0010391667,0.0024724999,61,0.0014403333,4.0116662E-4
ID00191,0.29323372,0.29326272,2.8999999E-5,7.0277776E-5,62,2.8999999E-5,0.0
ID00257,0.29323372,0.29422295,9.892222E-4,0.0023575,63,0.0013694444,3.8022222E-4
ID00324,0.2928535,0.29384434,9.908333E-4,0.0023575,64,0.0013726667,3.818334E-4
ID00421,0.29247168,0.29348025,0.0010085555,0.0024022222,65,0.0013984444,3.8988888E-4
ID00179,0.29208177,0.29211238,3.061111E-5,7.0277776E-5,66,3.061111E-5,0.0
ID00269,0.29208177,0.29307744,9.956666E-4,0.0023702777,67,0.0013791111,3.8344448E-4
ID00280,0.29169834,0.29269078,9.924445E-4,0.0023638888,68,0.0013758888,3.8344436E-4
ID00174,0.2913149,0.2913439,2.8999999E-5,7.0277776E-5,69,2.8999999E-5,0.0
ID00232,0.2913149,0.2922864,9.715E-4,0.0023127778,70,0.0013468888,3.7538883E-4
ID00024,0.2909395,0.2909685,2.8999999E-5,7.0277776E-5,71,2.8999999E-5,0.0
ID00171,0.2909395,0.29097012,3.061111E-5,7.0277776E-5,72,3.061111E-5,0.0
ID00420,0.2909395,0.29192066,9.811666E-4,0.0023383333,73,0.0013597778,3.7861115E-4
ID00136,0.2905609,0.2905899,2.8999999E-5,7.0277776E-5,74,2.8999999E-5,0.0
ID00112,0.2905609,0.2905915,3.061111E-5,7.0277776E-5,75,3.061111E-5,0.0
ID00034,0.2905609,0.2905915,3.061111E-5,7.666666E-5,76,3.061111E-5,0.0
ID00177,0.2905609,0.2905899,2.8999999E-5,7.0277776E-5,77,2.8999999E-5,0.0
ID00408,0.2905609,0.29155335,9.924445E-4,0.0023638888,78,0.0013758888,3.8344436E-4
ID00403,0.29017746,0.2911667,9.892222E-4,0.002351111,79,0.0013694444,3.8022222E-4
ID00013,0.28979725,0.28982785,3.061111E-5,7.666666E-5,80,3.061111E-5,0.0
ID00148,0.28979725,0.28982785,3.061111E-5,7.0277776E-5,81,3.061111E-5,0.0
ID00142,0.28979725,0.28982785,3.061111E-5,7.0277776E-5,82,3.061111E-5,0.0
ID00253,0.28979725,0.29073974,9.4249996E-4,0.0022425,83,0.0013049999,3.6249997E-4
ID00176,0.28943476,0.28946376,2.8999999E-5,7.0277776E-5,84,2.8999999E-5,0.0
ID00400,0.28943476,0.2903837,9.489444E-4,0.0022552777,85,0.0013146667,3.6572228E-4
ID00365,0.28906903,0.29001635,9.4733335E-4,0.0022552777,86,0.0013114444,3.641111E-4
ID00341,0.2887049,0.28963614,9.312222E-4,0.0022169445,87,0.0012888889,3.5766663E-4
ID00018,0.28834724,0.28837785,3.061111E-5,7.0277776E-5,88,3.061111E-5,0.0
ID00263,0.28834724,0.28927687,9.296111E-4,0.0022105556,89,0.0012856666,3.560555E-4
ID00406,0.2879912,0.28895786,9.666667E-4,0.0023,90,0.0013404444,3.7377776E-4
ID00048,0.28761742,0.28764802,3.061111E-5,7.666666E-5,91,3.061111E-5,0.0
ID00047,0.28761742,0.28764802,3.061111E-5,7.0277776E-5,92,3.061111E-5,0.0
ID00222,0.28761742,0.28764802,3.061111E-5,7.666666E-5,93,3.061111E-5,0.0
ID00209,0.28761742,0.28764802,3.061111E-5,7.0277776E-5,94,3.061111E-5,0.0
ID00049,0.28761742,0.28764802,3.061111E-5,7.0277776E-5,95,3.061111E-5,0.0
ID00377,0.28761742,0.28871298,0.0010955555,0.0026066666,96,0.0015176666,4.2211113E-4
ID00242,0.2871953,0.288112,9.1672223E-4,0.0021849999,97,0.0012695555,3.528333E-4
ID00371,0.28684247,0.2877721,9.296111E-4,0.0022105556,98,0.0012888889,3.5927776E-4
ID00066,0.2864832,0.2865138,3.061111E-5,7.0277776E-5,99,3.061111E-5,0.0
ID00405,0.2864832,0.28743696,9.5377775E-4,0.0022680555,100,0.0013211111,3.6733336E-4
ID00002,0.28611585,0.28614646,3.061111E-5,7.0277776E-5,101,3.061111E-5,0.0
ID00011,0.28611585,0.28614485,2.8999999E-5,7.0277776E-5,102,2.8999999E-5,0.0
ID00220,0.28611585,0.28614646,3.061111E-5,7.0277776E-5,103,3.061111E-5,0.0
ID00125,0.28611585,0.28614646,3.061111E-5,7.666666E-5,104,3.061111E-5,0.0
ID00127,0.28611585,0.28614646,3.061111E-5,7.666666E-5,105,3.061111E-5,0.0
ID00099,0.28611585,0.28614646,3.061111E-5,7.666666E-5,106,3.061111E-5,0.0
ID00247,0.28611585,0.28701484,8.99E-4,0.0021402778,107,0.001247,3.4799997E-4
ID00026,0.28576785,0.28579685,2.8999999E-5,7.0277776E-5,108,2.8999999E-5,0.0
ID00186,0.28576785,0.28579846,3.061111E-5,7.666666E-5,109,3.061111E-5,0.0
ID00038,0.28576785,0.28579846,3.061111E-5,7.666666E-5,110,3.061111E-5,0.0
ID00223,0.28576785,0.28579685,2.8999999E-5,7.0277776E-5,111,2.8999999E-5,0.0
ID00277,0.28576785,0.28667492,9.0705557E-4,0.0021594444,112,0.0012566666,3.4961104E-4
ID00276,0.28541824,0.2863237,9.0544444E-4,0.0021530555,113,0.0012534445,3.4800003E-4
ID00438,0.28507024,0.28599986,9.296111E-4,0.0022105556,114,0.0012888889,3.5927776E-4
ID00451,0.28471097,0.28564864,9.376666E-4,0.0022297222,115,0.0012985555,3.608889E-4
ID00071,0.2843501,0.2843807,3.061111E-5,7.666666E-5,116,3.061111E-5,0.0
ID00278,0.2843501,0.28525394,9.038333E-4,0.0021530555,117,0.0012502222,3.463889E-4
